Day,Outlook,Temperature,Humidity,Wind,Season,Weekend,Location,Rainfall_mm,UVIndex,CloudCover_pct,AirQuality_AQI,Pressure_hPa,WeatherScore,IdealConditions,PlayTennis,PlayTennis_Num
D001,Sunny,Hot,High,Weak,Spring,0,Park,0.8,7.0,0.0,41.0,,5.9,0,No,0
D002,Overcast,Mild,Normal,Strong,Spring,0,Backyard,0.7,3.0,83.0,,1015.5,9.2,0,No,0
D003,Overcast,Cool,Normal,Weak,Summer,0,Park,4.1,4.0,60.0,55.0,1015.6,8.0,0,Yes,1
D004,Rain,Mild,High,Strong,Summer,0,Public Court,12.5,1.0,82.0,65.0,1013.7,5.8,0,No,0
D005,Rain,Hot,Normal,Weak,Summer,0,Resort,31.6,5.0,94.0,48.0,1001.9,6.3,0,Yes,1
D006,Sunny,Mild,High,Weak,Fall,0,Park,1.3,5.0,0.0,58.0,1012.9,8.3,0,No,0
D007,Overcast,Mild,Normal,,Fall,0,Park,1.7,3.0,47.0,42.0,1017.3,9.1,0,Yes,1
D008,Sunny,Hot,High,Strong,Fall,0,Backyard,0.9,6.0,17.0,63.0,1021.3,5.0,0,No,0
D009,Overcast,Mild,Normal,Weak,Winter,0,Backyard,4.0,1.0,81.0,,1005.6,10.0,1,Yes,1
D010,Overcast,Hot,Normal,Weak,Winter,0,Club,6.8,3.0,74.0,52.0,1006.7,7.9,0,Yes,1
D011,Rain,Cool,High,Weak,Winter,0,Club,13.2,0.0,100.0,38.0,1007.4,6.2,0,No,0
D012,Overcast,Hot,Normal,Weak,Spring,1,Club,5.4,2.0,81.0,40.0,,8.0,0,Yes,1
D013,Overcast,Hot,Normal,,Spring,0,Backyard,1.2,3.0,78.0,44.0,1018.5,7.3,0,Yes,1
D014,Sunny,Mild,Normal,Weak,Spring,0,Club,0.8,6.0,4.0,52.0,1016.3,9.0,0,Yes,1
D015,Sunny,Cool,Normal,,Summer,0,Public Court,1.7,9.0,24.0,60.0,1027.5,6.9,0,Yes,1
D016,Rain,Mild,High,Strong,Summer,0,Public Court,18.2,2.0,77.0,15.0,997.0,5.9,0,No,0
D017,Overcast,Hot,High,Weak,Summer,0,Club,7.1,5.0,73.0,27.0,1016.7,6.9,0,Yes,1
D018,Sunny,Mild,Normal,Weak,Fall,1,Park,0.9,3.0,29.0,37.0,1014.8,9.1,0,Yes,1
D019,Sunny,Cool,Normal,Weak,Fall,0,Park,4.3,6.0,28.0,18.0,1020.8,7.8,0,Yes,1
D020,Rain,Hot,Normal,Weak,Fall,0,Park,42.1,0.0,78.0,22.0,1005.8,5.9,0,No,0
D021,Rain,Mild,High,Weak,Winter,0,Park,16.8,0.0,90.0,67.0,1001.6,7.2,0,Yes,1
D022,Rain,Cool,Normal,Strong,Winter,0,Backyard,10.8,3.0,72.0,28.0,1005.1,5.9,0,No,0
D023,Overcast,Cool,High,Weak,Winter,0,Public Court,0.3,3.0,59.0,,1013.8,8.1,0,No,0
